theta_a,theta_d,x,y
56,82,-22.5764026,-119.2258569
56,83,-22.24699324,-117.8490929
56,84,-21.7886442,-116.5550874
56,85,-21.22694935,-115.3241661
56,86,-20.58046588,-114.1417859
56,87,-19.86315455,-112.9968082
56,88,-19.08583341,-111.8804582
56,89,-18.25709169,-110.7856622
56,90,-17.38388967,-109.7066075
56,91,-16.47196685,-108.638439
56,92,-15.52612792,-107.577044
56,93,-14.55044841,-106.5188957
56,94,-13.54842575,-105.4609362
56,95,-12.52309238,-104.4004882
56,96,-11.47710183,-103.3351861
56,97,-10.41279517,-102.2629226
56,98,-9.33225298,-101.1818055
56,99,-8.237336455,-100.0901234
56,100,-7.129720181,-98.98631734
56,101,-6.010918532,-97.86895721
56,102,-4.882307054,-96.7367223
56,103,-3.745139891,-95.58838458
56,104,-2.600564029,-94.42279441
56,105,-1.449630977,-93.23886812
56,106,-0.293306332,-92.03557702
56,107,0.867522405,-90.81193765
56,108,2.032039487,-89.56700287
56,109,3.199495838,-88.29985368
56,110,4.369205076,-87.00959153
56,111,5.540540498,-85.69533105
56,112,6.71293295,-84.3561929
56,113,7.885869525,-82.99129677
56,114,9.058893029,-81.59975437
56,115,10.23160223,-80.18066212
56,116,11.40365286,-78.73309373
56,117,12.57475948,-77.25609218
56,118,13.74469811,-75.74866122
56,119,14.91330994,-74.2097561
56,120,16.08050596,-72.63827332
56,121,17.24627294,-71.03303928
56,122,18.4106807,-69.39279742
56,123,19.57389119,-67.7161936
56,124,20.73616942,-66.00175937
56,125,21.89789699,-64.24789251
56,126,23.05958846,-62.45283424
56,127,24.22191157,-60.61464243
56,128,25.38571199,-58.73115959
56,129,26.55204409,-56.79997446
56,130,27.72220931,-54.81837538
56,131,28.89780428,-52.78329305
56,132,30.08078215,-50.69122969
56,133,31.27353115,-48.53817005
56,134,32.47897674,-46.31946826
56,135,33.70071636,-44.02970188
56,136,34.9431999,-41.6624805
56,137,36.2119759,-39.21018989
56,138,37.51403479,-36.66364292
56,139,38.85829914,-34.01159111
56,140,40.25634439,-31.24002144
56,141,41.72349575,-28.33110836
56,142,43.28056848,-25.26158582
56,143,44.9567755,-22.00008446
56,144,46.79491548,-18.50248097
56,145,48.86146916,-14.70304153
56,146,51.26876626,-10.49539966
56,147,54.23334224,-5.683595728
56,148,58.28678382,0.190641998
56,149,66.10002637,9.297781674
56,228,66.32893423,110.1609713
56,229,58.36139393,103.0438149
56,230,54.28354954,99.23145657
56,231,51.30800332,96.46093679
56,232,48.89439392,94.26614842
56,233,46.82375525,92.44845415
56,234,44.98278414,90.90003092
56,235,43.30452622,89.55412342
56,236,41.74592224,88.36578241
56,237,40.27760311,87.30291593
56,238,38.87865389,86.34159735
56,239,37.53368258,85.46338206
56,240,36.23106719,84.65366825
56,241,34.96185174,83.90064267
56,242,33.71902109,83.19457352
57,78,-9.77986809,-136.2821247
57,79,-15.32023458,-131.2453484
57,80,-17.19714208,-128.4735384
57,81,-18.1141952,-126.3172659
57,82,-18.52969296,-124.4860426
57,83,-18.62692675,-122.8602595
57,84,-18.50092843,-121.3762446
57,85,-18.20836672,-119.9950909
57,86,-17.78619344,-118.6908455
57,87,-17.26006208,-117.4451061
57,88,-16.64863328,-116.2442218
57,89,-15.96598265,-115.0777076
57,90,-15.22304126,-113.9372836
57,91,-14.42850438,-112.8162614
57,92,-13.58942969,-111.7091353
57,93,-12.71164526,-110.6112996
57,94,-11.80003611,-109.5188477
57,95,-10.85875059,-108.4284251
57,96,-9.891352224,-107.3371206
57,97,-8.900933637,-106.2423823
57,98,-7.890203329,-105.1419536
57,99,-6.861552788,-104.0338221
57,100,-5.817109031,-102.9161794
57,101,-4.758776191,-101.7873886
57,102,-3.688268759,-100.6459568
57,103,-2.607138368,-99.49051333
57,104,-1.51679553,-98.31979108
57,105,-0.418527367,-97.13261038
57,106,0.686487857,-95.92786548
57,107,1.797168804,-94.70451259
57,108,2.912521258,-93.4615593
57,109,4.031630095,-92.19805518
57,110,5.153652732,-90.9130831
57,111,6.277813858,-89.60575132
57,112,7.40340126,-88.27518593
57,113,8.529762632,-86.92052367
57,114,9.65630326,-85.54090494
57,115,10.78248454,-84.13546682
57,116,11.90782324,-82.70333599
57,117,13.0318916,-81.24362157
57,118,14.15431808,-79.75540745
57,119,15.27478903,-78.23774433
57,120,16.39305111,-76.689641
57,121,17.50891472,-75.11005493
57,122,18.62225838,-73.4978818
